IRI Reserved,Reserved by,Date reserved,Associated Issue
https://www.commoncoreontologies.org/ont00000001,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000002,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/544
https://www.commoncoreontologies.org/ont00000003,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/545
https://www.commoncoreontologies.org/ont00000004,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/546
https://www.commoncoreontologies.org/ont00000005,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/547
https://www.commoncoreontologies.org/ont00000006,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/548
https://www.commoncoreontologies.org/ont00000007,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/549
https://www.commoncoreontologies.org/ont00000008,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/550
https://www.commoncoreontologies.org/ont00000009,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/551
https://www.commoncoreontologies.org/ont00000010,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/552
https://www.commoncoreontologies.org/ont00000011,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/553
https://www.commoncoreontologies.org/ont00000012,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/554
https://www.commoncoreontologies.org/ont00000013,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/555
https://www.commoncoreontologies.org/ont00000014,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/556
https://www.commoncoreontologies.org/ont00000015,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/557
https://www.commoncoreontologies.org/ont00000016,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/558
https://www.commoncoreontologies.org/ont00000017,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/559
https://www.commoncoreontologies.org/ont00000018,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/560
https://www.commoncoreontologies.org/ont00000019,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/561
https://www.commoncoreontologies.org/ont00000020,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/562
https://www.commoncoreontologies.org/ont00000021,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/563
https://www.commoncoreontologies.org/ont00000022,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/564
https://www.commoncoreontologies.org/ont00000023,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/565
https://www.commoncoreontologies.org/ont00000024,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/566
https://www.commoncoreontologies.org/ont00000025,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/567
https://www.commoncoreontologies.org/ont00000026,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/568
https://www.commoncoreontologies.org/ont00000027,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/569
https://www.commoncoreontologies.org/ont00000028,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/570
https://www.commoncoreontologies.org/ont00000029,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/571
https://www.commoncoreontologies.org/ont00000030,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/572
https://www.commoncoreontologies.org/ont00000031,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/573
https://www.commoncoreontologies.org/ont00000032,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/574
https://www.commoncoreontologies.org/ont00000033,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/575
https://www.commoncoreontologies.org/ont00000034,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/576
https://www.commoncoreontologies.org/ont00000035,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/577
https://www.commoncoreontologies.org/ont00000036,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/578
https://www.commoncoreontologies.org/ont00000037,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/579
https://www.commoncoreontologies.org/ont00000038,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/580
https://www.commoncoreontologies.org/ont00000039,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/581
https://www.commoncoreontologies.org/ont00000040,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/582
https://www.commoncoreontologies.org/ont00000041,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/583
https://www.commoncoreontologies.org/ont00000042,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/584
https://www.commoncoreontologies.org/ont00000043,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/585
https://www.commoncoreontologies.org/ont00000044,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/586
https://www.commoncoreontologies.org/ont00000045,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/587
https://www.commoncoreontologies.org/ont00000046,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/588
https://www.commoncoreontologies.org/ont00000047,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/589
https://www.commoncoreontologies.org/ont00000048,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/590
https://www.commoncoreontologies.org/ont00000049,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/591
https://www.commoncoreontologies.org/ont00000050,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/592
https://www.commoncoreontologies.org/ont00000051,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/593
https://www.commoncoreontologies.org/ont00000052,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/594
https://www.commoncoreontologies.org/ont00000053,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/595
https://www.commoncoreontologies.org/ont00000054,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/596
https://www.commoncoreontologies.org/ont00000055,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/597
https://www.commoncoreontologies.org/ont00000056,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/598
https://www.commoncoreontologies.org/ont00000057,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/599
https://www.commoncoreontologies.org/ont00000058,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/600
https://www.commoncoreontologies.org/ont00000059,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/601
https://www.commoncoreontologies.org/ont00000060,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/602
https://www.commoncoreontologies.org/ont00000061,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/603
