Kind,Label,CCO IRI,QUDT IRI
Individual,Acre Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/AcreMeasurementUnit,http://qudt.org/vocab/unit/AC
Individual,Angstrom Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/AngstromMeasurementUnit,not imported FIXME
Individual,Atmosphere Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/AtmosphereMeasurementUnit,http://qudt.org/vocab/unit/ATM
Individual,Bar Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/BarMeasurementUnit,http://qudt.org/vocab/unit/BAR
Individual,Bayre Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/BayreMeasurementUnit,http://qudt.org/vocab/unit/BARAD
Individual,Binary Degree Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/BinaryDegreeMeasurementUnit,what is this?
Individual,British Thermal Unit Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/BritishThermalUnitMeasurementUnit,http://qudt.org/vocab/unit/BTU_MEAN
Individual,Calorie Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/CalorieMeasurementUnit,ambiguous check calorie(mean) vs calorie(15 deg)
Individual,Centigram Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/CentigramMeasurementUnit,http://qudt.org/vocab/unit/CentiGM
Individual,Centiliter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/CentiliterMeasurementUnit,
Individual,Centimeter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/CentimeterMeasurementUnit,
Individual,Cubic Centimeter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/CubicCentimeterMeasurementUnit,
Individual,Cubic Decimeter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/CubicDecimeterMeasurementUnit,
Individual,Cubic Feet Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/CubicFeetPerSecondMeasurementUnit,
Individual,Cubic Foot Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/CubicFootMeasurementUnit,
Individual,Cubic Inch Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/CubicInchMeasurementUnit,
Individual,Cubic Meter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/CubicMeterMeasurementUnit,
Individual,Cubic Meter Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/CubicMeterPerSecondMeasurementUnit,
Individual,Cubic Millimeter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/CubicMillimeterMeasurementUnit,
Individual,Cubic Yard Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/CubicYardMeasurementUnit,
Individual,Day Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/DayMeasurementUnit,
Individual,Decibel Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/DecibelMeasurementUnit,
Individual,Decigram Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/DecigramMeasurementUnit,
Individual,Deciliter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/DeciliterMeasurementUnit,
Individual,Decimeter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/DecimeterMeasurementUnit,
Individual,Degree Celsius Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/DegreeCelsiusMeasurementUnit,
Individual,Degree Fahrenheit Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/DegreeFahrenheitMeasurementUnit,
Individual,Degree Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/DegreeMeasurementUnit,
Individual,Dyne Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/DyneMeasurementUnit,
Individual,Dyne Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/DyneSecondMeasurementUnit,
Individual,Erg Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/ErgMeasurementUnit,
Individual,Feet Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/FeetPerSecondMeasurementUnit,
Individual,Feet Per Second Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/FeetPerSecondPerSecondMeasurementUnit,
Individual,Foot Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/FootMeasurementUnit,
Individual,Gallon Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/GallonMeasurementUnit,
Individual,Gallon Per Minute Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/GallonPerMinuteMeasurementUnit,
